,"Country, State",Lat,Long_,Incidence_Rate,Case-Fatality_Ratio,Confirmed,Deaths,Recovered,Active,Country
514,"Russia, Orel Oblast",52.96854329999999,36.0692477,453.932903042769,1.0318396226415094,3392,35,1655,1702,Russia
515,"Russia, Orenburg Oblast",52.02692620000001,54.7276647,133.63873551362178,0.4161937192584185,2643,11,1872,760,Russia
516,"Russia, Penza Oblast",53.1655415,44.78791810000001,265.4591467009098,0.7920792079207921,3535,28,2823,684,Russia
517,"Russia, Perm Krai",58.5951603,56.3159546,95.53501514607404,1.5163607342378291,2506,38,1689,779,Russia
518,"Russia, Primorsky Krai",45.0819456,134.726645,141.24138738560728,0.9622501850481124,2702,26,1634,1042,Russia
519,"Russia, Pskov Oblast",57.535872899999994,28.8586826,241.14518039544672,1.0423452768729642,1535,16,506,1013,Russia
520,"Russia, Rostov Oblast",47.6222451,40.7957942,169.46052223790247,0.8948545861297539,7152,64,2831,4257,Russia
521,"Russia, Ryazan Oblast",54.42267320000001,40.57052460000001,387.4365344180962,0.2531645569620253,4345,11,2007,2327,Russia
522,"Russia, Saint Petersburg",59.960673899999996,30.158655100000004,374.5000639955455,2.7989821882951653,20043,561,9276,10206,Russia
523,"Russia, Sakha (Yakutiya) Republic",66.941626,129.642371,300.51953169558135,0.6901311249137336,2898,20,1751,1127,Russia
524,"Russia, Sakhalin Oblast",49.7219665,143.448533,62.22191394607298,0.0,305,0,71,234,Russia
525,"Russia, Samara Oblast",53.2128813,50.8914633,111.10018618988363,1.1273957158962795,3548,40,1741,1767,Russia
526,"Russia, Saratov Oblast",51.652055499999996,46.86319520000001,177.1046915284517,0.848234754699679,4362,37,1980,2345,Russia
527,"Russia, Smolensk Oblast",55.03434960000001,33.0192065,380.1556436628086,1.3022998060404545,3609,47,1394,2168,Russia
528,"Russia, Stavropol Krai",44.86325770000001,43.4406913,125.29126917306334,1.9093758905671128,3509,67,1846,1596,Russia
529,"Russia, Sverdlovsk Oblast",58.6414755,61.802154599999994,204.05728585776197,0.5438477226376615,8826,48,3912,4866,Russia
530,"Russia, Tambov Oblast",52.9019574,41.3578918,364.7615214328839,0.26525198938992045,3770,10,1788,1972,Russia
531,"Russia, Tatarstan Republic",55.7648572,52.43104273,98.1695223049988,0.26157467957101754,3823,10,3611,202,Russia
532,"Russia, Tomsk Oblast",58.6124279,82.04753149999998,108.22791853692918,0.9425878320479862,1167,11,564,592,Russia
533,"Russia, Tula Oblast",53.9570701,37.369090899999996,345.0067198219666,1.088012434427822,5147,56,3170,1921,Russia
534,"Russia, Tver Oblast",57.1134475,35.174442799999994,193.78863797275898,2.009646302250804,2488,50,1611,827,Russia
535,"Russia, Tyumen Oblast",58.8206488,70.36588370000001,56.03401581627126,0.6283228612856452,2069,13,1222,834,Russia
536,"Russia, Tyva Republic",51.401714899999995,93.8582593,684.7526746694351,0.09078529278256922,2203,2,373,1828,Russia
537,"Russia, Udmurt Republic",57.1961165,52.69598320000001,69.59480358799877,1.1396011396011396,1053,12,551,490,Russia
538,"Russia, Ulyanovsk Oblast",54.146317700000004,47.2324921,291.42848891962086,0.495458298926507,3633,18,1255,2360,Russia
539,"Russia, Vladimir Oblast",56.0503336,40.656163299999996,245.9485597499015,1.297935103244838,3390,44,1667,1679,Russia
540,"Russia, Volgograd Oblast",49.604833899999996,44.29035820000001,176.89455656580242,0.5605381165919282,4460,25,1732,2703,Russia
541,"Russia, Vologda Oblast",60.0391461,43.1215213,103.7657358911318,1.0647010647010646,1221,13,693,515,Russia
542,"Russia, Voronezh Oblast",50.9800393,40.15065070000001,171.09669855786862,0.5259203606311045,3993,21,1944,2028,Russia
543,"Russia, Yamalo-Nenets Autonomous Okrug",67.1471631,74.3415488,573.0233387243825,0.4860661049902787,3086,15,1487,1584,Russia
544,"Russia, Yaroslavl Oblast",57.77819760000001,39.002109499999996,313.11132952616924,0.4037345445369669,3963,16,1639,2308,Russia
545,"Russia, Zabaykalsky Krai",52.248521000000004,115.956325,171.6060499288781,2.1727322107550244,1841,40,1076,725,Russia
546,Rwanda,-1.9403,29.8739,3.9375522739016953,0.392156862745098,510,2,321,187,Rwanda
547,Saint Kitts and Nevis,17.357822,-62.782998,28.19972928259889,0.0,15,0,15,0,Saint Kitts and Nevis
548,Saint Lucia,13.9094,-60.9789,10.346949555898034,0.0,19,0,18,1,Saint Lucia
