"Country, State",Lat,Long_,Incidence_Rate,Case-Fatality_Ratio,Confirmed,Deaths,Recovered,Active,Country
"Mexico, Durango",24.5593,-104.6588,49.22428940457871,7.934782608695652,920,73,481,366,Mexico
"Mexico, Guanajuato",21.019000000000002,-101.2574,54.06078024461419,5.4648054648054645,3367,184,2178,1005,Mexico
"Mexico, Guerrero",17.4392,-99.5451,89.11559268568529,16.38539429272783,3259,534,2406,319,Mexico
"Mexico, Hidalgo",20.0911,-98.7624,86.67016155318113,17.046728971962615,2675,456,1748,471,Mexico
"Mexico, Jalisco",20.6595,-103.3494,46.137237114363145,8.427835051546392,3880,327,2288,1265,Mexico
"Mexico, Mexico",19.4969,-99.7233,130.68782674108422,8.478222690551457,22776,1931,18152,2693,Mexico
"Mexico, Michoacan",19.5665,-101.7068,70.64697835475228,7.978879436784982,3409,272,2491,646,Mexico
"Mexico, Morelos",18.6813,-99.1013,90.06593746361405,18.142313959804454,1841,334,1248,259,Mexico
"Mexico, Nayarit",21.7514,-104.8455,76.44126710906889,11.167512690355329,985,110,620,255,Mexico
"Mexico, Nuevo Leon",25.5922,-99.9962,43.777772192665694,6.7182410423452765,2456,165,1661,630,Mexico
"Mexico, Oaxaca",17.0732,-96.7266,70.90464724696658,11.266167460857725,2938,331,2006,601,Mexico
"Mexico, Puebla",19.0414,-98.2063,81.58134567127533,13.511507052709725,5388,728,3550,1110,Mexico
"Mexico, Queretaro",20.5888,-100.3899,61.58875294619275,13.390313390313391,1404,188,946,270,Mexico
"Mexico, Quintana Roo",19.1817,-88.4791,141.76626960892125,18.993041342611548,2443,464,1660,319,Mexico
"Mexico, San Luis Potosi",22.1565,-100.9855,57.568675941387404,5.393939393939394,1650,89,1087,474,Mexico
"Mexico, Sinaloa",25.1721,-107.4795,169.98904543199586,16.15728661945583,5366,867,3936,563,Mexico
"Mexico, Sonora",29.2972,-110.3309,124.79083631325523,6.6718790721918175,3837,256,3337,244,Mexico
"Mexico, Tabasco",17.8409,-92.6189,251.87702616387676,11.220867417811395,6479,727,4702,1050,Mexico
"Mexico, Tamaulipas",24.2669,-98.8363,81.30165928797497,6.704851752021563,2968,199,2148,621,Mexico
"Mexico, Tlaxcala",19.3139,-98.2404,122.60771834427406,13.120567375886527,1692,222,1142,328,Mexico
"Mexico, Veracruz",19.1738,-96.1342,73.12764538818075,15.580464371497197,6245,973,4506,766,Mexico
"Mexico, Yucatan",20.7099,-89.0943,110.08818563869295,9.891435464414956,2487,246,1822,419,Mexico
"Mexico, Zacatecas",22.7709,-102.5832,30.844453939148806,11.089494163424122,514,57,287,170,Mexico
Moldova,47.4116,28.3699,284.063091307481,3.4732524653111088,11459,398,6421,4640,Moldova
Monaco,43.7333,7.4167,252.26786260320046,4.040404040404041,99,4,93,2,Monaco
Mongolia,46.8625,103.8467,6.009226755883857,0.0,197,0,98,99,Mongolia
Montenegro,42.708678000000006,19.37439,51.58726367778977,2.7777777777777777,324,9,315,0,Montenegro
Morocco,31.7917,-7.0926,23.548817658080374,2.4390243902439024,8692,212,7696,784,Morocco
Mozambique,-18.665695,35.529562,1.7692922846858474,0.3616636528028933,553,2,151,400,Mozambique
Namibia,-22.9576,18.4904,1.2593883465647822,0.0,32,0,17,15,Namibia
Nepal,28.1667,84.25,18.31017316653217,0.3373945641986879,5335,18,913,4404,Nepal
Netherlands,52.1326,5.2913,283.865541343668,12.452713815789476,48640,6057,0,42583,Netherlands
"Netherlands, Aruba",12.5211,-69.9683,94.59940430474121,2.9702970297029703,101,3,98,0,Netherlands
"Netherlands, Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,26.696159566759466,0.0,7,0,7,0,Netherlands
"Netherlands, Curacao",12.1696,-68.99,13.406459475929312,4.545454545454546,22,1,15,6,Netherlands
"Netherlands, Sint Maarten",18.0425,-63.0548,179.56252040483187,19.48051948051948,77,15,61,1,Netherlands
New Zealand,-40.9006,174.886,31.188870384321948,1.4627659574468086,1504,22,1482,0,New Zealand
Nicaragua,12.865416,-85.207229,22.099600969363365,3.756830601092896,1464,55,953,456,Nicaragua
Niger,17.607789,8.081666,4.048476624343837,6.7346938775510194,980,66,881,33,Niger
Nigeria,9.082,8.6753,7.607466488229647,2.5953322280321394,15682,407,5101,10174,Nigeria
North Macedonia,41.6086,21.7453,186.9558121898069,4.595635430038512,3895,179,1705,2011,North Macedonia
Norway,60.472,8.4689,159.15172205926243,2.8048215113583685,8628,242,8138,248,Norway
Oman,21.512583,55.92325500000001,432.32101377388034,0.4484304932735426,22077,99,7530,14448,Oman
"Pakistan, Azad Jammu and Kashmir",34.027401,73.947253,14.1890746103072,1.9163763066202089,574,11,242,321,Pakistan
"Pakistan, Balochistan",28.328491999999997,65.898403,63.72116022088706,1.0170353419781335,7866,80,2722,5064,Pakistan
"Pakistan, Gilgit-Baltistan",35.792146,74.982138,103.00083663514816,1.5325670498084292,1044,16,676,352,Pakistan
"Pakistan, Islamabad",33.665087,73.121219,356.9769736645383,0.9912048024570712,7163,71,1671,5421,Pakistan
"Pakistan, Khyber Pakhtunkhwa",34.485332,72.09169,53.77846372210986,3.911056960097472,16415,642,4072,11701,Pakistan
"Pakistan, Punjab",30.811346,72.13913199999998,45.52848667789776,1.8727414299119527,50087,938,17560,31589,Pakistan
"Pakistan, Sindh",26.009446,68.77680699999999,102.8608519002747,1.6099561474744193,49256,793,23113,25350,Pakistan
Panama,8.538,-80.7821,464.8917392545787,2.138690861957226,20059,429,13759,5871,Panama
Papua New Guinea,-6.314993,143.95555,0.08941517668383027,0.0,8,0,8,0,Papua New Guinea
Paraguay,-23.4425,-58.4438,17.67956110945205,0.8723235527359239,1261,11,647,603,Paraguay
"Peru, Amazonas",-5.077253,-78.050172,242.03373945641988,2.7105517909002903,1033,28,0,1005,Peru
"Peru, Ancash",-9.407125,-77.67179499999997,508.21616127392855,5.783333333333332,6000,347,0,5653,Peru
"Peru, Apurimac",-14.027713,-72.975378,76.85163687021128,2.114803625377644,331,7,0,324,Peru
"Peru, Arequipa",-15.843524,-72.475539,325.96500601041805,1.9463224749026842,4881,95,0,4786,Peru
"Peru, Ayacucho",-14.091648,-74.08344,160.28135288835682,1.0270774976657329,1071,11,0,1060,Peru
"Peru, Cajamarca",-6.430284,-78.74559599999998,78.07663204237463,1.2334801762114538,1135,14,0,1121,Peru
"Peru, Callao",-11.954609,-77.136042,1345.2517921939996,2.8552631578947367,15200,434,0,14766,Peru
"Peru, Cusco",-13.191068,-72.153609,100.8031832584187,0.43859649122807015,1368,6,0,1362,Peru
"Peru, Huancavelica",-13.023888,-75.00277,173.82972898987134,0.7874015748031497,635,5,0,630,Peru
"Peru, Huanuco",-9.421676,-76.040642,179.27134026042356,1.760821716801174,1363,24,0,1339,Peru
"Peru, Ica",-14.235097,-75.574821,523.0721903199344,6.430111742795531,5101,328,0,4773,Peru
"Peru, Junin",-11.541783,-74.876968,182.37238340066105,1.4901329037454691,2483,37,0,2446,Peru
"Peru, La Libertad",-7.92139,-78.370238,338.65529551765167,4.436310395314789,6830,303,0,6527,Peru
"Peru, Lambayeque",-6.353049,-79.824113,823.2377174244738,6.079140024094152,10791,656,0,10135,Peru
"Peru, Lima",-11.766533,-76.60449799999998,1210.895234510985,2.163170163170163,128700,2784,0,125916,Peru
"Peru, Loreto",-4.124847,-74.424115,697.450369793694,4.339333054276545,7167,311,0,6856,Peru
"Peru, Madre de Dios",-11.972699,-70.53171999999998,543.7284234752589,1.5873015873015872,945,15,0,930,Peru
"Peru, Moquegua",-16.860271,-70.839046,382.9787234042552,0.8130081300813008,738,6,0,732,Peru
"Peru, Pasco",-10.39655,-75.307635,268.1132769400515,1.7832647462277091,729,13,0,716,Peru
"Peru, Piura",-5.133361,-80.335861,623.4375,4.738408521303258,12768,605,0,12163,Peru
"Peru, Puno",-14.995826999999998,-69.922726,44.02261712439418,1.834862385321101,545,10,0,535,Peru
"Peru, San Martin",-7.039531,-76.729127,272.7879057358826,1.8744906275468625,2454,46,0,2408,Peru
"Peru, Tacna",-17.644160999999997,-70.27756,156.8733153638814,0.8591065292096219,582,5,0,577,Peru
"Peru, Tumbes",-3.857496,-80.54525500000003,721.2723658051691,5.2921719955898565,1814,96,0,1718,Peru
"Peru, Ucayali",-9.621718,-73.444929,1032.931590561874,2.00493015612161,6085,122,0,5963,Peru
"Peru, Unknown",,,,,0,0,111724,-111724,Peru
Philippines,12.879721,121.774017,23.171882264169952,4.229678638941399,25392,1074,5706,18612,Philippines
Poland,51.9194,19.1451,76.67002099659929,4.263018230692353,29017,1237,14104,13676,Poland
Portugal,39.3999,-8.2245,357.5958395195625,4.1466692263390295,36463,1512,22438,12513,Portugal
